,recipe,k,methods,accuracy,mem_peak_bytes,mem_peak_GiB
15,noiseavg#v1,1,['noiseavg#v1'],0.8345,273163264,0.25440311431884766
14,noiseavg,1,['noiseavg'],0.83,273163264,0.25440311431884766
13,layerdecay#v1,1,['layerdecay#v1'],0.8169999718666077,273163264,0.25440311431884766
8,prune,1,['prune'],0.8009999990463257,273179648,0.25441837310791016
4,jacobian,1,['jacobian'],0.8009999990463257,6044021248,5.628933429718018
0,mixup,1,['mixup'],0.7979999780654907,396730880,0.36948442459106445
11,labelsmooth#v1,1,['labelsmooth#v1'],0.796999990940094,273163264,0.25440311431884766
12,layerdecay,1,['layerdecay'],0.7910000085830688,273163264,0.25440311431884766
10,labelsmooth,1,['labelsmooth'],0.7900000214576721,273163264,0.25440311431884766
9,prune#v1,1,['prune#v1'],0.7839999794960022,273179648,0.25441837310791016
5,jacobian#v1,1,['jacobian#v1'],0.777999997138977,6042923520,5.62791109085083
1,mixup#v1,1,['mixup#v1'],0.7739999890327454,396730880,0.36948442459106445
2,cutmix,1,['cutmix'],0.7720000147819519,370910720,0.34543752670288086
3,cutmix#v1,1,['cutmix#v1'],0.7649999856948853,370910720,0.34543752670288086
7,ema#v1,1,['ema#v1'],0.7179999947547913,262228992,0.24421977996826172
6,ema,1,['ema'],0.6330000162124634,245104640,0.228271484375
