,recipe,k,methods,accuracy,mem_peak_bytes,mem_peak_GiB
7,cutmix,1,['cutmix'],0.8640000224113464,557301760,0.5190277099609375
9,cutmix#v2,1,['cutmix#v2'],0.8550000190734863,579170304,0.5393943786621094
45,noiseavg#v2,1,['noiseavg#v2'],0.8545,393436160,0.36641597747802734
44,noiseavg#v1,1,['noiseavg#v1'],0.854,382501888,0.3562326431274414
47,noiseavg#v4,1,['noiseavg#v4'],0.8535,415304704,0.3867826461791992
11,cutmix#v4,1,['cutmix#v4'],0.8529999852180481,601038848,0.5597610473632812
8,cutmix#v1,1,['cutmix#v1'],0.8500000238418579,568236032,0.5292110443115234
43,noiseavg,1,['noiseavg'],0.848,371567616,0.34604930877685547
46,noiseavg#v3,1,['noiseavg#v3'],0.841,404370432,0.3765993118286133
31,labelsmooth,1,['labelsmooth'],0.8399999737739563,367763968,0.34250688552856445
12,cutmix#v5,1,['cutmix#v5'],0.8389999866485596,611973120,0.5699443817138672
38,layerdecay#v1,1,['layerdecay#v1'],0.8349999785423279,316503040,0.2947664260864258
48,noiseavg#v5,1,['noiseavg#v5'],0.8315,426238976,0.39696598052978516
26,prune#v1,1,['prune#v1'],0.8289999961853027,312421376,0.29096508026123047
0,baseline,1,['baseline'],0.8270000219345093,403567104,0.3758511543273926
39,layerdecay#v2,1,['layerdecay#v2'],0.8259999752044678,327437312,0.3049497604370117
10,cutmix#v3,1,['cutmix#v3'],0.8259999752044678,590104576,0.5495777130126953
41,layerdecay#v4,1,['layerdecay#v4'],0.8240000009536743,349305856,0.3253164291381836
33,labelsmooth#v2,1,['labelsmooth#v2'],0.8230000138282776,261176320,0.2432394027709961
40,layerdecay#v3,1,['layerdecay#v3'],0.8230000138282776,338371584,0.31513309478759766
14,jacobian#v1,1,['jacobian#v1'],0.8220000267028809,5988824064,5.577527046203613
27,prune#v2,1,['prune#v2'],0.8180000185966492,323363840,0.30115604400634766
3,mixup#v2,1,['mixup#v2'],0.8169999718666077,540416512,0.5033020973205566
35,labelsmooth#v4,1,['labelsmooth#v4'],0.8159999847412109,283044864,0.26360607147216797
28,prune#v3,1,['prune#v3'],0.8149999976158142,334961664,0.31195735931396484
36,labelsmooth#v5,1,['labelsmooth#v5'],0.8100000023841858,293979136,0.2737894058227539
37,layerdecay,1,['layerdecay'],0.8100000023841858,304913408,0.28397274017333984
29,prune#v4,1,['prune#v4'],0.8090000152587891,345904128,0.32214832305908203
4,mixup#v3,1,['mixup#v3'],0.8090000152587891,550319104,0.5125246047973633
34,labelsmooth#v3,1,['labelsmooth#v3'],0.8069999814033508,272110592,0.25342273712158203
2,mixup#v1,1,['mixup#v1'],0.8059999942779541,529490944,0.49312686920166016
32,labelsmooth#v1,1,['labelsmooth#v1'],0.8050000071525574,250242048,0.23305606842041016
13,jacobian,1,['jacobian'],0.8029999732971191,6296723968,5.864281177520752
30,prune#v5,1,['prune#v5'],0.8019999861717224,356846592,0.3323392868041992
20,ema#v1,1,['ema#v1'],0.800000011920929,266357760,0.24806499481201172
1,mixup,1,['mixup'],0.7950000166893005,517999616,0.4824247360229492
5,mixup#v4,1,['mixup#v4'],0.7940000295639038,561253376,0.5227079391479492
42,layerdecay#v5,1,['layerdecay#v5'],0.7910000085830688,360502272,0.33574390411376953
15,jacobian#v2,1,['jacobian#v2'],0.7900000214576721,5990500864,5.5790886878967285
21,ema#v2,1,['ema#v2'],0.7879999876022339,272547840,0.2538299560546875
25,prune,1,['prune'],0.7829999923706055,301478912,0.2807741165161133
6,mixup#v5,1,['mixup#v5'],0.781000018119812,572187648,0.5328912734985352
16,jacobian#v3,1,['jacobian#v3'],0.7739999890327454,6005801984,5.593338966369629
18,jacobian#v5,1,['jacobian#v5'],0.765999972820282,6003436544,5.5911359786987305
17,jacobian#v4,1,['jacobian#v4'],0.7609999775886536,5987943424,5.576706886291504
22,ema#v3,1,['ema#v3'],0.7419999837875366,278729216,0.25958681106567383
23,ema#v4,1,['ema#v4'],0.675000011920929,285124608,0.26554298400878906
24,ema#v5,1,['ema#v5'],0.6549999713897705,290528256,0.27057552337646484
19,ema,1,['ema'],0.609000027179718,260167680,0.24230003356933594
